Year,Sex,Count
1880,Female,97604
1880,Male,118400
1881,Female,98855
1881,Male,108282
1882,Female,115695
1882,Male,122031
1883,Female,120059
1883,Male,112477
1884,Female,137586
1884,Male,122739
1885,Female,141949
1885,Male,115945
1886,Female,153735
1886,Male,119041
1887,Female,155422
1887,Male,109315
1888,Female,189447
1888,Male,129906
1889,Female,189219
1889,Male,119033
1890,Female,201661
1890,Male,119701
1891,Female,196567
1891,Male,109265
1892,Female,224913
1892,Male,131453
1893,Female,225232
1893,Male,121040
1894,Female,235972
1894,Male,124893
1895,Female,247106
1895,Male,126644
1896,Female,251993
1896,Male,129071
1897,Female,248276
1897,Male,121942
1898,Female,274145
1898,Male,132104
1899,Female,247490
1899,Male,115194
1900,Female,317765
1900,Male,162136
1901,Female,254231
1901,Male,115596
1902,Female,280334
1902,Male,132749
1903,Female,278197
1903,Male,129327
1904,Female,292435
1904,Male,138508
1905,Female,309868
1905,Male,143241
1906,Female,313440
1906,Male,144072
1907,Female,337433
1907,Male,158588
1908,Female,354531
1908,Male,166368
1909,Female,368097
1909,Male,176868
1910,Female,419526
1910,Male,208523
1911,Female,441817
1911,Male,241395
1912,Female,586711
1912,Male,451458
1913,Female,654911
1913,Male,536246
1914,Female,796615
1914,Male,683321
1915,Female,1023881
1915,Male,880944
1916,Female,1085715
1916,Male,923263
1917,Female,1123701
1917,Male,959321
1918,Female,1202367
1918,Male,1048686
1919,Female,1174653
1919,Male,1015333
1920,Female,1244039
1920,Male,1100845
1921,Female,1279700
1921,Male,1137928
1922,Female,1247535
1922,Male,1125289
1923,Female,1252429
1923,Male,1132343
1924,Female,1295720
1924,Male,1169053
1925,Female,1263067
1925,Male,1151452
1926,Female,1230154
1926,Male,1145493
1927,Female,1236370
1927,Male,1161823
1928,Female,1195430
1928,Male,1141139
1929,Female,1157504
1929,Male,1107467
1930,Female,1166388
1930,Male,1129409
1931,Female,1103602
1931,Male,1069483
1932,Female,1106182
1932,Male,1074244
1933,Female,1045898
1933,Male,1019944
1934,Female,1082199
1934,Male,1061700
1935,Female,1086702
1935,Male,1069364
1936,Female,1077450
1936,Male,1064145
1937,Female,1101746
1937,Male,1093453
1938,Female,1141349
1938,Male,1136275
1939,Female,1134028
1939,Male,1133132
1940,Female,1181237
1940,Male,1186018
1941,Female,1245838
1941,Male,1254633
1942,Female,1390382
1942,Male,1408054
1943,Female,1435263
1943,Male,1454300
1944,Female,1366456
1944,Male,1388952
1945,Female,1346064
1945,Male,1371304
1946,Female,1612845
1946,Male,1650221
1947,Female,1817815
1947,Male,1857369
1948,Female,1742599
1948,Male,1782584
1949,Female,1755492
1949,Male,1801862
1950,Female,1758732
1950,Male,1819391
1951,Female,1847295
1951,Male,1912132
1952,Female,1902035
1952,Male,1973312
1953,Female,1929043
1953,Male,2000962
1954,Female,1990998
1954,Male,2068771
1955,Female,2004393
1955,Male,2088801
1956,Female,2059324
1956,Male,2144578
1957,Female,2097512
1957,Male,2187578
1958,Female,2065055
1958,Male,2153163
1959,Female,2078518
1959,Male,2166365
1960,Female,2079922
1960,Male,2166043
1961,Female,2076304
1961,Male,2155959
1962,Female,2027035
1962,Male,2102270
1963,Female,1987948
1963,Male,2065345
1964,Female,1957243
1964,Male,2027518
1965,Female,1827404
1965,Male,1895471
1966,Female,1755605
1966,Male,1818082
1967,Female,1716705
1967,Male,1779945
1968,Female,1709555
1968,Male,1776337
1969,Female,1762753
1969,Male,1830273
1970,Female,1831973
1970,Male,1905890
1971,Female,1752416
1971,Male,1818559
1972,Female,1612525
1972,Male,1674843
1973,Female,1554077
1973,Male,1614331
1974,Female,1566162
1974,Male,1630859
1975,Female,1560766
1975,Male,1623146
1976,Female,1571928
1976,Male,1633323
1977,Female,1644958
1977,Male,1709926
1978,Female,1643811
1978,Male,1709108
1979,Female,1723123
1979,Male,1791797
1980,Female,1780360
1980,Male,1854890
1981,Female,1788139
1981,Male,1862278
1982,Female,1813865
1982,Male,1886935
1983,Female,1789223
1983,Male,1863052
1984,Female,1802722
1984,Male,1876017
1985,Female,1845753
1985,Male,1923588
1986,Female,1844872
1986,Male,1920717
1987,Female,1873696
1987,Male,1949260
1988,Female,1922429
1988,Male,2001087
1989,Female,1991833
1989,Male,2095312
1990,Female,2053848
1990,Male,2150985
1991,Female,2033020
1991,Male,2119088
1992,Female,2004237
1992,Male,2098502
1993,Female,1971108
1993,Male,2064883
1994,Female,1948955
1994,Male,2037863
1995,Female,1921147
1995,Male,2010917
1996,Female,1916774
1996,Male,2003219
1997,Female,1908700
1997,Male,1997199
1998,Female,1937876
1998,Male,2026988
1999,Female,1946028
1999,Male,2038121
2000,Female,1994676
2000,Male,2087172
2001,Female,1979793
2001,Male,2067193
2002,Female,1973757
2002,Male,2065323
2003,Female,2005167
2003,Male,2099842
2004,Female,2016339
2004,Male,2111945
2005,Female,2027865
2005,Male,2125748
2006,Female,2088675
2006,Male,2190481
2007,Female,2114380
2007,Male,2213001
2008,Female,2080467
2008,Male,2177987
2009,Female,2022399
2009,Male,2118374
2010,Female,1957645
2010,Male,2051486
2011,Female,1934276
2011,Male,2027805
2012,Female,1935222
2012,Male,2024813
2013,Female,1922536
2013,Male,2015372
2014,Female,1949966
2014,Male,2042503
2015,Female,1942833
2015,Male,2035632
2016,Female,1920613
2016,Male,2008947
