PostalCode,Longitude,Latitude,State2,State,City,County,Region,Area,TimeZone
00501,-73.0456,40.8154,NY,New York,HOLTSVILLE,SUFFOLK,Northeast,New York-Newark-Jersey City NY-NJ-PA,5
00544,-73.0456,40.8154,NY,New York,HOLTSVILLE,SUFFOLK,Northeast,New York-Newark-Jersey City NY-NJ-PA,5
00935,-66.1061,18.4683,PR,Puerto Rico,SAN JUAN,SAN JUAN,,San Juan-Carolina-Caguas PR,4
00939,-66.1061,18.4683,PR,Puerto Rico,SAN JUAN,SAN JUAN,,San Juan-Carolina-Caguas PR,4
00975,-66.1064,18.4683,PR,Puerto Rico,SAN JUAN,SAN JUAN,,San Juan-Carolina-Caguas PR,4
01063,-72.637674,42.31822,MA,Massachusetts,NORTHAMPTON,HAMPSHIRE,Northeast,Springfield MA,5
01111,-72.5905,42.1015,MA,Massachusetts,SPRINGFIELD,HAMPDEN,Northeast,Springfield MA,5
01199,-72.5905,42.1015,MA,Massachusetts,SPRINGFIELD,HAMPDEN,Northeast,Springfield MA,5
01263,-73.3208,42.2878,MA,Massachusetts,STOCKBRIDGE,BERKSHIRE,Northeast,Pittsfield MA,5
01441,-71.9988,42.575,MA,Massachusetts,WESTMINSTER,WORCESTER,Northeast,Worcester MA-CT,5
01470,-71.5752,42.6112,MA,Massachusetts,GROTON,MIDDLESEX,Northeast,Boston-Cambridge-Newton MA-NH,5
01471,-71.5752,42.6112,MA,Massachusetts,GROTON,MIDDLESEX,Northeast,Boston-Cambridge-Newton MA-NH,5
01546,-71.7134,42.2959,MA,Massachusetts,SHREWSBURY,WORCESTER,Northeast,Worcester MA-CT,5
01653,-71.8028,42.2627,MA,Massachusetts,WORCESTER,WORCESTER,Northeast,Worcester MA-CT,5
01654,-71.8028,42.2627,MA,Massachusetts,WORCESTER,WORCESTER,Northeast,Worcester MA-CT,5
01805,-71.1964,42.5044,MA,Massachusetts,BURLINGTON,MIDDLESEX,Northeast,Boston-Cambridge-Newton MA-NH,5
01812,-71.1377,42.6585,MA,Massachusetts,ANDOVER,ESSEX,Northeast,Boston-Cambridge-Newton MA-NH,5
01813,-71.1526,42.4793,MA,Massachusetts,WOBURN,MIDDLESEX,Northeast,Boston-Cambridge-Newton MA-NH,5
01815,-71.1526,42.4793,MA,Massachusetts,WOBURN,MIDDLESEX,Northeast,Boston-Cambridge-Newton MA-NH,5
01889,-71.0788,42.5763,MA,Massachusetts,NORTH READING,MIDDLESEX,Northeast,Boston-Cambridge-Newton MA-NH,5
01899,-71.1375,42.6586,MA,Massachusetts,ANDOVER,ESSEX,Northeast,Boston-Cambridge-Newton MA-NH,5
01910,-70.9503,42.4667,MA,Massachusetts,LYNN,ESSEX,Northeast,Boston-Cambridge-Newton MA-NH,5
02044,-70.8789,42.2039,MA,Massachusetts,HINGHAM,PLYMOUTH,Northeast,Boston-Cambridge-Newton MA-NH,5
02201,-71.0603,42.3586,MA,Massachusetts,BOSTON,SUFFOLK,Northeast,Boston-Cambridge-Newton MA-NH,5
02204,-71.0603,42.3586,MA,Massachusetts,BOSTON,SUFFOLK,Northeast,Boston-Cambridge-Newton MA-NH,5
02206,-71.0603,42.3586,MA,Massachusetts,BOSTON,SUFFOLK,Northeast,Boston-Cambridge-Newton MA-NH,5
02211,-71.0603,42.3586,MA,Massachusetts,BOSTON,SUFFOLK,Northeast,Boston-Cambridge-Newton MA-NH,5
02212,-71.0176,42.3362,MA,Massachusetts,BOSTON,SUFFOLK,Northeast,Boston-Cambridge-Newton MA-NH,5
02217,-71.0603,42.3586,MA,Massachusetts,BOSTON,SUFFOLK,Northeast,Boston-Cambridge-Newton MA-NH,5
02241,-71.0603,42.3586,MA,Massachusetts,BOSTON,SUFFOLK,Northeast,Boston-Cambridge-Newton MA-NH,5
02266,-71.0603,42.3586,MA,Massachusetts,BOSTON,SUFFOLK,Northeast,Boston-Cambridge-Newton MA-NH,5
02293,-71.0603,42.3586,MA,Massachusetts,BOSTON,SUFFOLK,Northeast,Boston-Cambridge-Newton MA-NH,5
02297,-71.0603,42.3586,MA,Massachusetts,BOSTON,SUFFOLK,Northeast,Boston-Cambridge-Newton MA-NH,5
02325,-70.9631,41.99013,MA,Massachusetts,BRIDGEWATER,PLYMOUTH,Northeast,Boston-Cambridge-Newton MA-NH,5
02340,-70.8564,42.1223,MA,Massachusetts,HANOVER,PLYMOUTH,Northeast,Boston-Cambridge-Newton MA-NH,5
02344,-70.9117,41.8934,MA,Massachusetts,MIDDLEBORO,PLYMOUTH,Northeast,Boston-Cambridge-Newton MA-NH,5
02348,-70.9117,41.8934,MA,Massachusetts,LAKEVILLE,PLYMOUTH,Northeast,Boston-Cambridge-Newton MA-NH,5
02349,-70.9117,41.8934,MA,Massachusetts,MIDDLEBORO,PLYMOUTH,Northeast,Boston-Cambridge-Newton MA-NH,5
02357,-71.07937,42.059326,MA,Massachusetts,NORTH EASTON,BRISTOL,Northeast,Providence-Warwick RI-MA,5
02477,-71.1833,42.3708,MA,Massachusetts,WATERTOWN,MIDDLESEX,Northeast,Boston-Cambridge-Newton MA-NH,5
02783,-71.1056,41.9058,MA,Massachusetts,TAUNTON,BRISTOL,Northeast,Providence-Warwick RI-MA,5
02902,-71.4133,41.8238,RI,Rhode Island,PROVIDENCE,PROVIDENCE,Northeast,Providence-Warwick RI-MA,5
02912,-71.402502,41.826254,RI,Rhode Island,PROVIDENCE,PROVIDENCE,Northeast,Providence-Warwick RI-MA,5
02918,-71.434916,41.844266,RI,Rhode Island,PROVIDENCE,PROVIDENCE,Northeast,Providence-Warwick RI-MA,5
03107,-71.4556,42.9956,NH,New Hampshire,MANCHESTER,HILLSBOROUGH,Northeast,Manchester-Nashua NH,5
03111,-71.4556,42.9956,NH,New Hampshire,MANCHESTER,HILLSBOROUGH,Northeast,Manchester-Nashua NH,5
03298,-71.4937,43.629,NH,New Hampshire,TILTON,BELKNAP,Northeast,Laconia NH,5
03299,-71.4937,43.629,NH,New Hampshire,TILTON,BELKNAP,Northeast,Laconia NH,5
03305,-71.5381,43.2084,NH,New Hampshire,CONCORD,MERRIMACK,Northeast,Concord NH,5
03435,-72.2794,42.9337,NH,New Hampshire,KEENE,CHESHIRE,Northeast,Keene NH,5
03803,-70.7632,43.0719,NH,New Hampshire,PORTSMOUTH,ROCKINGHAM,Northeast,Boston-Cambridge-Newton MA-NH,5
03822,-70.8745,43.1979,NH,New Hampshire,DOVER,STRAFFORD,Northeast,Boston-Cambridge-Newton MA-NH,5
04033,-70.1037,43.8569,ME,Maine,FREEPORT,CUMBERLAND,Northeast,Portland-South Portland ME,5
04034,-70.1037,43.8569,ME,Maine,FREEPORT,CUMBERLAND,Northeast,Portland-South Portland ME,5
04122,-70.2555,43.6615,ME,Maine,PORTLAND,CUMBERLAND,Northeast,Portland-South Portland ME,5
04123,-70.2555,43.6615,ME,Maine,PORTLAND,CUMBERLAND,Northeast,Portland-South Portland ME,5
04124,-70.2555,43.6615,ME,Maine,PORTLAND,CUMBERLAND,Northeast,Portland-South Portland ME,5
04333,-69.782301,44.306762,ME,Maine,AUGUSTA,KENNEBEC,Northeast,Augusta-Waterville ME,5
04336,-69.7803,44.3108,ME,Maine,AUGUSTA,KENNEBEC,Northeast,Augusta-Waterville ME,5
04420,-68.8003,44.3879,ME,Maine,CASTINE,HANCOCK,Northeast,,5
04469,-68.668137,44.90172,ME,Maine,ORONO,PENOBSCOT,Northeast,Bangor ME,5
04751,-67.886698,46.959914,ME,Maine,LIMESTONE,AROOSTOOK,Northeast,,5
05009,-72.3194,43.6487,VT,Vermont,WHITE RIVER JUNCTION,WINDSOR,Northeast,Claremont-Lebanon NH-VT,5
05405,-73.195632,44.47761,VT,Vermont,BURLINGTON,CHITTENDEN,Northeast,Burlington-South Burlington VT,5
05439,-73.1485,44.5437,VT,Vermont,COLCHESTER,CHITTENDEN,Northeast,Burlington-South Burlington VT,5
05479,-73.0836,44.8106,VT,Vermont,SAINT ALBANS,FRANKLIN,Northeast,Burlington-South Burlington VT,5
05501,-71.1838,42.6495,MA,Massachusetts,ANDOVER,ESSEX,Northeast,Boston-Cambridge-Newton MA-NH,5
05544,-71.1377,42.6586,MA,Massachusetts,ANDOVER,ESSEX,Northeast,Boston-Cambridge-Newton MA-NH,5
05603,-72.5759,44.2601,VT,Vermont,MONTPELIER,WASHINGTON,Northeast,Barre VT,5
05604,-72.5759,44.2601,VT,Vermont,MONTPELIER,WASHINGTON,Northeast,Barre VT,5
05609,-72.5759,44.2601,VT,Vermont,MONTPELIER,WASHINGTON,Northeast,Barre VT,5
05620,-72.5759,44.2601,VT,Vermont,MONTPELIER,WASHINGTON,Northeast,Barre VT,5
05633,-72.5759,44.2601,VT,Vermont,MONTPELIER,WASHINGTON,Northeast,Barre VT,5
05671,-72.7564,44.3379,VT,Vermont,WATERBURY,WASHINGTON,Northeast,Barre VT,5
06006,-72.6443,41.8525,CT,Connecticut,WINDSOR,HARTFORD,Northeast,Hartford-West Hartford-East Hartford CT,5
06030,-72.8326,41.7197,CT,Connecticut,FARMINGTON,HARTFORD,Northeast,Hartford-West Hartford-East Hartford CT,5
06041,-72.5219,41.7759,CT,Connecticut,MANCHESTER,HARTFORD,Northeast,Hartford-West Hartford-East Hartford CT,5
06080,-72.6423,41.9856,CT,Connecticut,SUFFIELD,HARTFORD,Northeast,Hartford-West Hartford-East Hartford CT,5
06087,-72.8869,41.7576,CT,Connecticut,UNIONVILLE,HARTFORD,Northeast,Hartford-West Hartford-East Hartford CT,5
06150,-72.6859,41.7638,CT,Connecticut,HARTFORD,HARTFORD,Northeast,Hartford-West Hartford-East Hartford CT,5
06151,-72.6859,41.7638,CT,Connecticut,HARTFORD,HARTFORD,Northeast,Hartford-West Hartford-East Hartford CT,5
06153,-72.6859,41.7638,CT,Connecticut,HARTFORD,HARTFORD,Northeast,Hartford-West Hartford-East Hartford CT,5
06154,-72.6859,41.7638,CT,Connecticut,HARTFORD,HARTFORD,Northeast,Hartford-West Hartford-East Hartford CT,5
06155,-72.6859,41.7638,CT,Connecticut,HARTFORD,HARTFORD,Northeast,Hartford-West Hartford-East Hartford CT,5
06156,-72.6859,41.7638,CT,Connecticut,HARTFORD,HARTFORD,Northeast,Hartford-West Hartford-East Hartford CT,5
06160,-72.6859,41.7638,CT,Connecticut,HARTFORD,HARTFORD,Northeast,Hartford-West Hartford-East Hartford CT,5
06161,-72.6859,41.7638,CT,Connecticut,HARTFORD,HARTFORD,Northeast,Hartford-West Hartford-East Hartford CT,5
06167,-72.6859,41.7638,CT,Connecticut,HARTFORD,HARTFORD,Northeast,Hartford-West Hartford-East Hartford CT,5
06176,-72.6859,41.7638,CT,Connecticut,HARTFORD,HARTFORD,Northeast,Hartford-West Hartford-East Hartford CT,5
06180,-72.6859,41.7638,CT,Connecticut,HARTFORD,HARTFORD,Northeast,Hartford-West Hartford-East Hartford CT,5
06183,-72.6798,41.7639,CT,Connecticut,HARTFORD,HARTFORD,Northeast,Hartford-West Hartford-East Hartford CT,5
06269,-72.251674,41.807038,CT,Connecticut,STORRS MANSFIELD,TOLLAND,Northeast,Hartford-West Hartford-East Hartford CT,5
06408,-72.9011,41.4989,CT,Connecticut,CHESHIRE,NEW HAVEN,Northeast,New Haven-Milford CT,5
06411,-72.9011,41.4989,CT,Connecticut,CHESHIRE,NEW HAVEN,Northeast,New Haven-Milford CT,5
06459,-72.65569,41.556473,CT,Connecticut,MIDDLETOWN,MIDDLESEX,Northeast,Hartford-West Hartford-East Hartford CT,5
06493,-72.8185,41.4539,CT,Connecticut,WALLINGFORD,NEW HAVEN,Northeast,New Haven-Milford CT,5
06494,-72.8238,41.4569,CT,Connecticut,WALLINGFORD,NEW HAVEN,Northeast,New Haven-Milford CT,5
06495,-72.8041,41.4588,CT,Connecticut,WALLINGFORD,NEW HAVEN,Northeast,New Haven-Milford CT,5
06537,-72.9287,41.3083,CT,Connecticut,NEW HAVEN,NEW HAVEN,Northeast,New Haven-Milford CT,5
06538,-72.9287,41.3083,CT,Connecticut,NEW HAVEN,NEW HAVEN,Northeast,New Haven-Milford CT,5
06540,-72.9287,41.3083,CT,Connecticut,NEW HAVEN,NEW HAVEN,Northeast,New Haven-Milford CT,5
06673,-73.2054,41.1667,CT,Connecticut,BRIDGEPORT,FAIRFIELD,Northeast,Bridgeport-Stamford-Norwalk CT,5
06699,-73.2054,41.1667,CT,Connecticut,BRIDGEPORT,FAIRFIELD,Northeast,Bridgeport-Stamford-Norwalk CT,5
06701,-73.0516,41.5584,CT,Connecticut,WATERBURY,NEW HAVEN,Northeast,New Haven-Milford CT,5
06749,-73.0516,41.5584,CT,Connecticut,WATERBURY,NEW HAVEN,Northeast,New Haven-Milford CT,5
06792,-73.06,41.77,CT,Connecticut,TORRINGTON,LITCHFIELD,Northeast,Torrington CT,5
06814,-73.4544,41.3948,CT,Connecticut,DANBURY,FAIRFIELD,Northeast,Bridgeport-Stamford-Norwalk CT,5
06816,-73.4544,41.3948,CT,Connecticut,DANBURY,FAIRFIELD,Northeast,Bridgeport-Stamford-Norwalk CT,5
06817,-73.4544,41.3948,CT,Connecticut,DANBURY,FAIRFIELD,Northeast,Bridgeport-Stamford-Norwalk CT,5
06828,-73.250735,41.221616,CT,Connecticut,FAIRFIELD,FAIRFIELD,Northeast,Bridgeport-Stamford-Norwalk CT,5
06857,-73.4086,41.1176,CT,Connecticut,NORWALK,FAIRFIELD,Northeast,Bridgeport-Stamford-Norwalk CT,5
06858,-73.4086,41.1176,CT,Connecticut,NORWALK,FAIRFIELD,Northeast,Bridgeport-Stamford-Norwalk CT,5
06860,-73.4086,41.1176,CT,Connecticut,NORWALK,FAIRFIELD,Northeast,Bridgeport-Stamford-Norwalk CT,5
06879,-73.4989,41.2815,CT,Connecticut,RIDGEFIELD,FAIRFIELD,Northeast,Bridgeport-Stamford-Norwalk CT,5
06888,-73.3585,41.1417,CT,Connecticut,WESTPORT,FAIRFIELD,Northeast,Bridgeport-Stamford-Norwalk CT,5
06889,-73.3585,41.1417,CT,Connecticut,WESTPORT,FAIRFIELD,Northeast,Bridgeport-Stamford-Norwalk CT,5
06913,-73.5394,41.0535,CT,Connecticut,STAMFORD,FAIRFIELD,Northeast,Bridgeport-Stamford-Norwalk CT,5
06914,-73.5394,41.0535,CT,Connecticut,STAMFORD,FAIRFIELD,Northeast,Bridgeport-Stamford-Norwalk CT,5
06920,-73.5394,41.0535,CT,Connecticut,STAMFORD,FAIRFIELD,Northeast,Bridgeport-Stamford-Norwalk CT,5
06921,-73.5394,41.0535,CT,Connecticut,STAMFORD,FAIRFIELD,Northeast,Bridgeport-Stamford-Norwalk CT,5
06922,-73.5394,41.0535,CT,Connecticut,STAMFORD,FAIRFIELD,Northeast,Bridgeport-Stamford-Norwalk CT,5
06926,-73.5394,41.0535,CT,Connecticut,STAMFORD,FAIRFIELD,Northeast,Bridgeport-Stamford-Norwalk CT,5
06927,-73.5394,41.0535,CT,Connecticut,STAMFORD,FAIRFIELD,Northeast,Bridgeport-Stamford-Norwalk CT,5
07097,-74.0775,40.7286,NJ,New Jersey,JERSEY CITY,HUDSON,Northeast,New York-Newark-Jersey City NY-NJ-PA,5
07099,-74.1443,40.7683,NJ,New Jersey,KEARNY,HUDSON,Northeast,New York-Newark-Jersey City NY-NJ-PA,5
07175,-74.1732,40.7325,NJ,New Jersey,NEWARK,ESSEX,Northeast,New York-Newark-Jersey City NY-NJ-PA,5
07184,-74.1725,40.7357,NJ,New Jersey,NEWARK,ESSEX,Northeast,New York-Newark-Jersey City NY-NJ-PA,5
07188,-74.1725,40.7357,NJ,New Jersey,NEWARK,ESSEX,Northeast,New York-Newark-Jersey City NY-NJ-PA,5
07189,-74.1725,40.7357,NJ,New Jersey,NEWARK,ESSEX,Northeast,New York-Newark-Jersey City NY-NJ-PA,5
07191,-74.1725,40.7357,NJ,New Jersey,NEWARK,ESSEX,Northeast,New York-Newark-Jersey City NY-NJ-PA,5
07192,-74.1725,40.7357,NJ,New Jersey,NEWARK,ESSEX,Northeast,New York-Newark-Jersey City NY-NJ-PA,5
07193,-74.1725,40.7357,NJ,New Jersey,NEWARK,ESSEX,Northeast,New York-Newark-Jersey City NY-NJ-PA,5
07195,-74.1725,40.7357,NJ,New Jersey,NEWARK,ESSEX,Northeast,New York-Newark-Jersey City NY-NJ-PA,5
07198,-74.1725,40.7357,NJ,New Jersey,NEWARK,ESSEX,Northeast,New York-Newark-Jersey City NY-NJ-PA,5
07199,-74.1725,40.7357,NJ,New Jersey,NEWARK,ESSEX,Northeast,New York-Newark-Jersey City NY-NJ-PA,5
07395,-74.08,40.73,NJ,New Jersey,JERSEY CITY,HUDSON,Northeast,New York-Newark-Jersey City NY-NJ-PA,5
07399,-74.0784,40.7282,NJ,New Jersey,JERSEY CITY,HUDSON,Northeast,New York-Newark-Jersey City NY-NJ-PA,5
